ori,des,path,len,time_step
400,392,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,18,0.0
235,306,235_246_34_33_31_357_40_50_19_24_349_313_79_80_118_124_116_278_275_273_372_306,22,0.0
235,325,235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,16,0.0
367,258,367_400_287_200_208_145_146_148_227_151_152_153_155_163_258,15,0.0
367,391,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,0.0
367,391,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,0.0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,0.0
233,325,233_234_200_208_145_146_148_227_151_152_153_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,35,0.0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,0.0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,0.0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,0.0
233,306,233_235_246_34_33_31_357_40_50_19_24_349_313_79_80_118_124_116_278_275_273_372_306,23,0.0
212,158,212_153_156_157_176_177_189_191_193_180_315_185_179_418_252_334_158,17,0.0
344,4,344_168_374_156_157_176_177_189_190_211_202_234_200_208_145_146_148_227_151_152_154_4,22,0.0
176,392,176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_392,17,0.0
376,392,376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,17,0.0
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,0.0
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,0.0
198,391,198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,15,0.0
213,392,213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,15,0.0
288,392,288_213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,16,0.0
208,392,208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,15,0.0
176,325,176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,22,0.0
189,88,189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,18,0.0
369,242,369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,16,0.0
231,246,231_198_196_195_180_315_184_183_177_189_190_211_202_235_246,15,0.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,0.0
344,399,344_168_374_156_157_176_177_189_190_211_202_235_245_238_399,15,0.0
344,242,344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,16,0.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,0.0
344,240,344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,15,0.0
344,241,344_168_374_156_157_176_177_189_190_211_202_235_245_239_241,15,0.0
169,240,169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,0.0
168,242,168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,15,0.0
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,17,0.0
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,17,0.0
233,51,233_234_200_208_145_146_148_227_151_152_153_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,31,0.0
219,392,219_288_213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,17,0.0
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,15,0.0
206,391,206_196_195_180_315_185_179_418_251_164_174_159_167_166_391,15,0.0
390,241,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241,16,0.0
198,242,198_196_195_180_315_184_183_177_189_190_211_202_235_245_239_241_242,17,0.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,0.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,0.0
219,392,219_288_213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,17,0.0
236,391,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,18,0.0
413,240,413_250_410_411_184_183_177_189_190_211_202_235_245_239_240,15,0.0
390,203,390_344_168_374_156_157_176_177_189_191_193_181_223_214_297_203,16,0.0
219,392,219_288_213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,17,0.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,0.0
390,241,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241,16,0.0
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,0.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,0.0
198,391,198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,15,0.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,0.0
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,16,0.0
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,15,0.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,0.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
345,240,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_240,17,1.0
367,162,367_400_287_200_208_145_146_148_227_151_152_153_155_163_258_162,16,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,15,1.0
367,391,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,1.0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,1.0
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,15,1.0
367,391,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,1.0
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,15,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
345,233,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_39_75_310_237_233,24,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
345,214,345_169_369_168_374_156_157_176_177_189_191_193_181_223_214,15,1.0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,1.0
345,281,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281,28,1.0
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,1.0
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
390,80,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80,26,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
345,376,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_30_236_376,20,1.0
413,242,413_250_410_411_184_183_177_189_190_211_202_235_245_239_241_242,16,1.0
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,1.0
236,391,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,18,1.0
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,1.0
96,391,96_336_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,18,1.0
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,1.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,1.0
300,392,300_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,16,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,1.0
390,4,390_344_168_374_156_157_176_177_188_146_148_227_151_152_154_4,16,1.0
390,32,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_32,16,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
390,51,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,24,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
390,197,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_30_236_376_231_198_197,22,1.0
390,325,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,28,1.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
219,240,219_288_213_294_195_180_315_184_183_177_189_190_211_202_235_245_239_240,18,1.0
390,281,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281,27,1.0
390,325,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,28,1.0
390,88,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,26,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
393,392,393_95_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,1.0
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,16,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
367,325,367_400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,19,1.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
367,391,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
212,242,212_153_156_157_176_177_189_190_211_202_235_245_239_241_242,15,1.0
345,88,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,27,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
367,162,367_400_287_200_208_145_146_148_227_151_152_153_155_163_258_162,16,1.0
367,253,367_400_287_200_208_145_146_148_227_151_152_153_155_164_173_257_253,17,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
367,325,367_400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,19,2.0
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,16,2.0
345,51,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,25,2.0
345,51,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,25,2.0
367,80,367_400_286_235_246_34_33_31_357_40_50_19_24_349_313_79_80,17,2.0
345,51,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,25,2.0
345,240,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_240,17,2.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,2.0
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,2.0
390,51,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,24,2.0
345,392,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_392,24,2.0
345,88,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,27,2.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,2.0
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,2.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,2.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,2.0
413,392,413_250_410_412_186_223_213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,21,2.0
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,2.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,2.0
413,242,413_250_410_411_184_183_177_189_190_211_202_235_245_239_241_242,16,2.0
236,391,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,18,2.0
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,2.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,2.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,2.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,2.0
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,2.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,2.0
219,150,219_288_213_294_195_180_315_184_183_177_188_146_148_227_150,15,2.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,2.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,2.0
413,4,413_250_410_411_184_183_177_188_146_148_227_151_152_154_4,15,2.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,2.0
212,88,212_153_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,24,2.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,2.0
390,325,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,28,2.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,2.0
236,257,236_376_231_198_196_195_180_315_185_179_418_251_164_173_257,15,2.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,2.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,2.0
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,2.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,2.0
413,242,413_250_410_411_184_183_177_189_190_211_202_235_245_239_241_242,16,2.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,2.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,2.0
345,4,345_169_369_168_374_156_157_176_177_188_146_148_227_151_152_154_4,17,2.0
347,4,347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,18,2.0
83,4,83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,17,2.0
83,4,83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,17,2.0
91,242,91_85_314_347_83_77_75_310_237_233_235_245_239_241_242,15,2.0
326,242,326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_241_242,19,2.0
324,242,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_241_242,20,2.0
326,240,326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,18,2.0
317,144,317_305_274_308_386_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_144,21,2.0
280,4,280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,24,2.0
246,325,246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,15,2.0
357,306,357_40_50_19_24_349_313_79_80_118_124_116_278_275_273_372_306,17,2.0
310,306,310_237_232_33_31_357_40_50_19_24_349_313_79_81_117_301_382_275_273_372_306,21,2.0
85,391,85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,25,2.0
91,391,91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,26,2.0
91,203,91_85_314_347_83_77_75_310_236_376_231_198_197_291_299_203,16,2.0
326,194,326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_194,18,2.0
326,179,326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179,22,2.0
326,181,326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181,19,2.0
366,391,366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,22,2.0
366,392,366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,22,2.0
19,392,19_24_348_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,26,2.0
132,185,132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185,18,2.0
310,391,310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,19,2.0
310,391,310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,19,2.0
310,391,310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,19,2.0
310,392,310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,2.0
310,392,310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,2.0
310,392,310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,2.0
30,392,30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,2.0
236,391,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,18,2.0
33,391,33_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,20,2.0
30,392,30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,2.0
30,392,30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,19,2.0
248,392,248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,20,2.0
52,222,52_360_0_366_351_248_30_236_376_231_198_196_195_181_222,15,2.0
132,179,132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,19,2.0
132,392,132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,27,2.0
340,392,340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,26,2.0
58,334,58_340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_252_334,22,2.0
48,334,48_45_43_38_36_248_30_236_376_231_198_196_195_180_315_185_179_418_252_334,20,2.0
366,391,366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,22,2.0
52,162,52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162,22,2.0
52,392,52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,25,2.0
52,391,52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,25,2.0
331,258,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_163_258,22,2.0
52,391,52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,25,2.0
27,334,27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_252_334,20,2.0
134,392,134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,26,2.0
75,4,75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,15,2.0
83,4,83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,17,2.0
83,4,83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,17,2.0
85,4,85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,20,2.0
91,4,91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,21,2.0
280,4,280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,24,2.0
280,4,280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,24,2.0
326,4,326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,25,2.0
326,200,326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200,16,2.0
326,147,326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_147,19,2.0
78,8,78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,15,2.0
78,8,78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,15,2.0
85,8,85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,19,2.0
385,8,385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,21,2.0
385,13,385_91_85_314_347_83_78_49_364_46_43_38_36_249_13,15,2.0
308,8,308_386_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,24,2.0
377,306,377_42_47_355_19_24_349_313_79_80_118_124_116_278_275_273_372_306,18,2.0
380,260,380_377_42_47_355_19_24_349_313_79_81_117_301_382_276_267_265_262_261_260,20,2.0
358,306,358_380_377_42_47_355_19_24_349_313_79_80_118_124_116_278_275_273_372_306,20,2.0
27,325,27_72_409_365_362_358_380_377_42_47_355_20_23_73_22_329_89_281_325,19,2.0
340,306,340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,25,2.0
340,325,340_27_72_409_365_362_358_380_377_42_47_355_20_23_73_22_329_89_281_325,20,2.0
