link_id,action,next_link_id
0,1,365
0,7,366
1,5,127
2,6,244
2,0,243
3,1,395
3,5,394
5,2,29
5,0,28
6,4,66
6,5,67
7,1,340
7,5,341
8,1,395
8,5,394
9,6,11
9,0,12
10,2,58
10,4,59
11,6,421
11,0,420
12,6,16
12,0,15
13,6,16
13,0,15
14,4,10
14,6,9
15,2,34
16,4,239
16,6,238
17,6,11
17,0,12
18,2,58
18,4,59
19,1,24
19,4,25
20,2,23
21,6,85
21,0,84
22,2,329
23,2,73
24,1,349
24,0,348
25,2,23
26,1,340
26,5,341
27,1,72
27,5,71
27,6,70
28,0,143
29,2,401
30,6,237
30,0,236
31,2,357
31,4,356
32,4,14
32,6,13
33,2,31
33,0,30
34,2,33
34,4,32
35,2,337
35,3,338
36,4,247
36,6,249
36,0,248
37,2,40
37,0,39
38,4,35
38,6,36
39,6,75
39,0,74
40,2,50
40,4,49
41,1,377
41,5,378
41,0,379
42,1,47
42,4,48
42,5,46
43,6,38
43,0,37
44,2,51
45,1,42
45,5,41
45,6,43
46,1,42
46,5,41
46,6,43
47,1,355
48,4,44
48,6,45
49,2,363
49,4,364
50,1,19
50,2,20
51,4,330
52,6,359
52,7,360
53,4,60
53,5,61
54,3,405
54,7,404
55,6,133
55,7,132
56,4,10
56,6,9
57,1,27
57,5,26
58,1,340
58,5,341
59,1,7
59,4,6
59,5,8
60,6,128
60,0,129
61,4,62
61,5,63
62,4,68
62,6,69
63,5,64
63,0,65
64,4,66
64,5,67
65,1,27
65,5,26
66,2,5
67,1,395
67,5,394
68,2,321
68,4,322
69,0,143
70,4,57
70,6,56
71,1,27
71,5,26
72,1,409
72,5,408
73,2,22
73,0,21
74,6,393
75,4,309
75,6,310
76,2,79
77,6,75
77,0,74
78,2,50
78,4,49
79,2,81
79,0,80
80,2,118
80,0,119
81,2,117
82,1,24
82,4,25
83,2,76
83,4,78
83,6,77
84,2,81
84,0,80
85,1,313
85,6,314
86,0,98
87,2,106
87,4,105
89,2,281
90,2,89
90,4,88
91,6,85
91,0,84
92,6,393
93,2,76
93,4,78
93,6,77
94,4,309
94,6,310
95,5,375
95,7,376
96,5,336
97,4,94
97,6,95
98,2,99
98,0,100
99,2,110
99,4,109
100,0,101
101,2,103
101,0,102
102,1,104
103,3,368
104,3,285
104,5,284
105,4,112
105,6,111
106,2,269
106,0,270
107,0,98
108,2,106
108,4,105
109,4,108
109,6,107
110,0,261
111,0,125
112,4,114
112,6,113
113,4,120
113,6,121
114,2,116
114,4,115
115,2,117
116,2,278
116,0,277
117,1,301
117,2,302
117,0,303
118,2,124
118,0,123
119,0,122
120,2,124
120,0,123
121,0,122
122,0,125
123,4,120
123,6,121
124,2,116
124,4,115
125,2,87
125,0,86
126,3,140
126,7,141
127,1,409
127,5,408
128,4,68
128,6,69
129,4,60
129,5,61
130,6,128
130,0,129
131,7,134
132,7,134
133,6,130
133,0,131
134,5,53
134,7,52
135,0,320
136,2,138
137,2,136
137,0,135
138,0,139
139,3,140
139,7,141
140,7,126
141,3,405
141,7,404
143,5,64
143,0,65
144,3,211
144,7,210
145,5,147
145,7,146
146,7,148
148,7,227
149,3,176
150,5,339
151,7,152
152,1,153
152,7,154
153,1,155
153,3,156
154,4,4
155,1,163
155,7,164
156,3,157
156,5,158
157,3,176
158,7,152
159,7,167
160,3,253
161,5,255
161,7,254
162,3,415
162,5,414
163,1,258
163,7,259
164,1,173
164,7,174
165,1,171
166,6,392
166,0,391
167,1,165
167,7,166
168,1,373
168,3,374
169,2,369
169,5,370
170,3,344
170,4,342
170,0,343
171,3,172
172,3,160
172,5,161
173,1,257
173,7,256
174,7,159
175,3,172
176,3,177
177,3,189
177,5,188
178,3,410
179,1,417
179,5,416
179,7,418
180,1,316
180,7,315
181,1,222
181,3,223
182,1,224
182,3,225
182,7,226
183,3,177
184,5,183
184,7,182
185,1,178
185,7,179
186,1,222
186,3,223
188,5,147
188,7,146
189,1,191
189,3,190
190,3,211
190,7,210
191,1,193
191,3,192
192,3,218
193,1,181
193,7,180
194,3,218
195,1,181
195,7,180
196,5,194
196,7,195
197,1,291
198,1,197
198,7,196
199,7,216
200,1,209
200,7,208
201,0,207
202,3,235
202,6,234
203,5,215
204,3,290
205,7,216
206,1,197
206,7,196
207,1,217
208,1,144
208,7,145
209,1,201
209,3,202
210,1,191
210,3,190
211,1,201
211,3,202
212,1,153
212,7,154
213,3,295
213,5,294
214,1,296
214,3,297
215,5,300
216,0,207
217,1,206
217,4,205
218,1,217
219,3,289
219,5,288
220,7,221
222,7,221
223,3,214
223,5,213
224,1,178
224,7,179
225,5,183
225,7,182
226,3,423
226,5,422
227,1,149
227,5,150
227,7,151
228,5,215
229,0,101
230,4,311
230,6,312
231,5,199
231,7,198
232,2,33
232,4,32
233,3,235
233,6,234
234,7,200
235,2,246
235,4,245
236,5,375
236,7,376
237,4,232
237,6,233
238,6,399
238,0,400
239,4,241
239,6,240
241,2,242
242,2,18
242,0,17
243,2,18
243,0,17
245,4,239
245,6,238
246,2,34
247,4,354
248,2,31
248,0,30
249,4,14
249,6,13
250,3,410
251,1,163
251,7,164
252,3,333
252,5,334
253,3,162
254,1,171
255,7,159
256,5,255
256,7,254
257,3,253
258,3,162
259,1,257
259,7,256
260,4,311
260,6,312
261,6,260
262,0,261
263,6,268
264,4,317
265,6,263
265,0,262
266,6,271
266,0,272
267,2,264
267,0,265
268,4,108
268,6,107
269,2,264
269,0,265
270,6,268
271,4,114
271,6,113
272,2,269
272,0,270
273,2,372
273,4,371
274,3,307
274,4,308
275,2,273
275,4,274
276,6,266
276,0,267
277,6,271
277,0,272
278,1,275
278,0,276
279,2,281
280,6,397
281,2,325
281,0,324
282,2,327
282,0,328
283,2,22
283,0,21
284,1,104
285,3,368
286,3,235
286,6,234
287,7,200
288,3,214
288,5,213
289,3,290
290,5,228
291,1,299
291,4,298
292,1,291
293,1,296
293,3,297
294,5,194
294,7,195
295,1,293
295,3,292
296,5,383
297,1,204
297,3,203
298,5,300
299,1,204
299,3,203
300,5,199
300,7,198
301,0,382
302,2,388
302,0,389
303,2,278
303,0,277
304,2,306
305,2,273
305,4,274
307,2,403
308,2,387
308,4,386
309,2,357
309,4,356
310,6,237
310,0,236
311,2,110
311,4,109
312,2,230
312,6,229
313,2,79
314,6,347
315,5,184
315,7,185
316,1,187
316,3,186
317,3,304
317,4,305
318,6,260
319,4,317
320,6,130
320,0,131
321,0,320
322,2,401
323,2,29
323,0,28
324,6,326
326,4,279
326,6,280
328,2,329
329,2,89
329,4,88
330,5,331
331,5,53
331,7,52
332,2,230
332,6,229
333,5,335
334,3,157
334,5,158
335,3,176
336,7,231
337,1,358
338,1,362
338,3,361
340,1,27
340,5,26
341,1,7
341,4,6
341,5,8
342,2,369
342,5,370
343,4,390
344,2,168
345,1,170
345,2,169
346,4,402
347,4,82
347,6,83
348,6,347
349,1,313
349,6,314
350,4,354
351,4,247
351,6,249
351,0,248
352,5,1
352,7,0
353,2,51
354,4,57
354,6,56
355,1,19
355,2,20
356,4,35
356,6,36
357,2,40
357,0,39
358,1,380
358,5,381
359,5,127
360,5,1
360,7,0
361,2,353
361,5,352
362,1,358
363,1,355
364,1,47
364,4,48
364,5,46
365,1,362
365,3,361
366,5,350
366,7,351
367,6,399
367,0,400
368,3,332
369,2,168
370,4,402
372,2,306
373,7,167
374,1,155
374,3,156
375,4,232
375,6,233
376,7,231
377,1,42
377,5,41
377,6,43
378,1,380
378,5,381
379,6,38
379,0,37
380,1,377
380,5,378
380,0,379
381,2,353
381,5,352
382,1,275
382,0,276
383,1,296
383,3,297
384,2,388
384,0,389
385,4,90
385,6,91
386,6,397
387,2,403
388,2,387
388,4,386
389,0,382
390,3,344
390,4,342
390,0,343
392,4,390
393,4,94
393,6,95
394,1,3
394,0,2
395,1,7
395,4,6
395,5,8
396,1,144
396,7,145
397,6,385
397,0,384
399,0,142
400,1,286
400,7,287
401,2,137
402,4,4
403,0,398
404,3,54
404,7,55
405,3,140
405,7,141
406,3,54
406,7,55
407,3,405
407,7,404
408,1,72
408,5,71
408,6,70
409,1,365
409,7,366
410,3,412
410,5,411
411,5,184
411,7,185
412,1,187
412,3,186
413,3,250
414,5,252
414,7,251
415,3,413
416,3,423
416,5,422
417,3,413
418,5,252
418,7,251
419,6,421
419,0,420
420,4,419
421,4,241
421,6,240
422,5,335
423,1,224
423,3,225
423,7,226
